Riser Stretch,Stress (Elastic),Yield Strength (125ksi)
19.69,106.14,125
19.75,106.32,125
19.82,106.55,125
19.88,106.86,125
19.94,107.24,125
20,107.65,125
20.06,108.08,125
20.12,108.47,125
20.18,108.8,125
20.24,109.08,125
20.31,109.27,125
20.37,109.45,125
20.43,109.65,125
20.5,109.88,125
20.56,110.19,125
20.62,110.56,125
20.68,110.97,125
20.74,111.4,125
20.8,111.79,125
20.86,112.12,125
20.92,112.39,125
20.98,112.6,125
21.05,112.78,125
21.11,112.98,125
21.17,113.23,125
21.24,113.53,125
21.3,113.88,125
21.36,114.3,125
21.42,114.71,125
21.48,115.11,125
